"x"	"y"
20.5774	2.6743
41.3236	0.3604
72.9168	-1.1569
101.4113	-1.8018
123.6065	-2.1508
134.1365	-2.3329
144.8122	-2.3329
158.2913	-2.606
167.0428	-2.6363
187.1828	-2.697
209.7511	-2.697
241.2006	-2.9701
279.3821	-2.9398
361.1264	-2.7881
390.6758	-2.606
420.4619	-2.3936
470.1819	-2.3632
553.1307	-1.7563
712.0175	-0.9369
966.2176	-0.3604
1215.7666	1.7032
1496.8811	4.4343
1770.0938	7.1048
2018.7147	10.9891
2422.0107	16.2693
2697.2279	18.5756
2942.1882	19.1826
3182.9348	18.697
3787.3319	15.2982
4619.8248	10.3215
5166.124	8.0152
5897.8391	6.8013
6327.8287	6.5586
6677.6784	6.4372
7076.1013	6.4372
7376.1406	6.294
7637.6592	6.3454
7947.5787	5.9796
8242.9073	5.1751
8728.0004	3.9605
9249.4917	2.335
9664.9966	0.7554
10149.404	-0.8311
10791.8446	-2.8083
11267.0637	-4.3878
11754.1606	-5.3348
12030.5836	-6.1386
12529.7253	-7.4544
12877.5835	-7.7975
13828.5443	-9.23
14751.9376	-10.3668
15946.3264	-12.2094
17395.022	-14.4192
19054.5454	-17.267
19927.9545	-20.9444
